441
0	0	-9.72902e-11	
0.5	0	0.5	
1	0	1	
1.5	0	1.5	
2	0	2	
2.5	0	2.5	
3	0	3	
3.5	0	3.5	
4	0	4	
4.5	0	4.5	
5	0	5	
5.5	0	5.5	
6	0	6	
6.5	0	6.5	
7	0	7	
7.5	0	7.5	
8	0	8	
8.5	0	8.5	
9	0	9	
9.5	0	9.5	
10	0	10	
0	0.5	0.5	
0.5	0.5	1	
1	0.5	1.5	
1.5	0.5	2	
2	0.5	2.5	
2.5	0.5	3	
3	0.5	3.5	
3.5	0.5	4	
4	0.5	4.5	
4.5	0.5	5	
5	0.5	5.5	
5.5	0.5	6	
6	0.5	6.5	
6.5	0.5	7	
7	0.5	7.5	
7.5	0.5	8	
8	0.5	8.5	
8.5	0.5	9	
9	0.5	9.5	
9.5	0.5	10	
10	0.5	10.5	
0	1	1	
0.5	1	1.5	
1	1	2	
1.5	1	2.5	
2	1	3	
2.5	1	3.5	
3	1	4	
3.5	1	4.5	
4	1	5	
4.5	1	5.5	
5	1	6	
5.5	1	6.5	
6	1	7	
6.5	1	7.5	
7	1	8	
7.5	1	8.5	
8	1	9	
8.5	1	9.5	
9	1	10	
9.5	1	10.5	
10	1	11	
0	1.5	1.5	
0.5	1.5	2	
1	1.5	2.5	
1.5	1.5	3	
2	1.5	3.5	
2.5	1.5	4	
3	1.5	4.5	
3.5	1.5	5	
4	1.5	5.5	
4.5	1.5	6	
5	1.5	6.5	
5.5	1.5	7	
6	1.5	7.5	
6.5	1.5	8	
7	1.5	8.5	
7.5	1.5	9	
8	1.5	9.5	
8.5	1.5	10	
9	1.5	10.5	
9.5	1.5	11	
10	1.5	11.5	
0	2	2	
0.5	2	2.5	
1	2	3	
1.5	2	3.5	
2	2	4	
2.5	2	4.5	
3	2	5	
3.5	2	5.5	
4	2	6	
4.5	2	6.5	
5	2	7	
5.5	2	7.5	
6	2	8	
6.5	2	8.5	
7	2	9	
7.5	2	9.5	
8	2	10	
8.5	2	10.5	
9	2	11	
9.5	2	11.5	
10	2	12	
0	2.5	2.5	
0.5	2.5	3	
1	2.5	3.5	
1.5	2.5	4	
2	2.5	4.5	
2.5	2.5	5	
3	2.5	5.5	
3.5	2.5	6	
4	2.5	6.5	
4.5	2.5	7	
5	2.5	7.5	
5.5	2.5	8	
6	2.5	8.5	
6.5	2.5	9	
7	2.5	9.5	
7.5	2.5	10	
8	2.5	10.5	
8.5	2.5	11	
9	2.5	11.5	
9.5	2.5	12	
10	2.5	12.5	
0	3	3	
0.5	3	3.5	
1	3	4	
1.5	3	4.5	
2	3	5	
2.5	3	5.5	
3	3	6	
3.5	3	6.5	
4	3	7	
4.5	3	7.5	
5	3	8	
5.5	3	8.5	
6	3	9	
6.5	3	9.5	
7	3	10	
7.5	3	10.5	
8	3	11	
8.5	3	11.5	
9	3	12	
9.5	3	12.5	
10	3	13	
0	3.5	3.5	
0.5	3.5	4	
1	3.5	4.5	
1.5	3.5	5	
2	3.5	5.5	
2.5	3.5	6	
3	3.5	6.5	
3.5	3.5	7	
4	3.5	7.5	
4.5	3.5	8	
5	3.5	8.5	
5.5	3.5	9	
6	3.5	9.5	
6.5	3.5	10	
7	3.5	10.5	
7.5	3.5	11	
8	3.5	11.5	
8.5	3.5	12	
9	3.5	12.5	
9.5	3.5	13	
10	3.5	13.5	
0	4	4	
0.5	4	4.5	
1	4	5	
1.5	4	5.5	
2	4	6	
2.5	4	6.5	
3	4	7	
3.5	4	7.5	
4	4	8	
4.5	4	8.5	
5	4	9	
5.5	4	9.5	
6	4	10	
6.5	4	10.5	
7	4	11	
7.5	4	11.5	
8	4	12	
8.5	4	12.5	
9	4	13	
9.5	4	13.5	
10	4	14	
0	4.5	4.5	
0.5	4.5	5	
1	4.5	5.5	
1.5	4.5	6	
2	4.5	6.5	
2.5	4.5	7	
3	4.5	7.5	
3.5	4.5	8	
4	4.5	8.5	
4.5	4.5	9	
5	4.5	9.5	
5.5	4.5	10	
6	4.5	10.5	
6.5	4.5	11	
7	4.5	11.5	
7.5	4.5	12	
8	4.5	12.5	
8.5	4.5	13	
9	4.5	13.5	
9.5	4.5	14	
10	4.5	14.5	
0	5	5	
0.5	5	5.5	
1	5	6	
1.5	5	6.5	
2	5	7	
2.5	5	7.5	
3	5	8	
3.5	5	8.5	
4	5	9	
4.5	5	9.5	
5	5	10	
5.5	5	10.5	
6	5	11	
6.5	5	11.5	
7	5	12	
7.5	5	12.5	
8	5	13	
8.5	5	13.5	
9	5	14	
9.5	5	14.5	
10	5	15	
0	5.5	5.5	
0.5	5.5	6	
1	5.5	6.5	
1.5	5.5	7	
2	5.5	7.5	
2.5	5.5	8	
3	5.5	8.5	
3.5	5.5	9	
4	5.5	9.5	
4.5	5.5	10	
5	5.5	10.5	
5.5	5.5	11	
6	5.5	11.5	
6.5	5.5	12	
7	5.5	12.5	
7.5	5.5	13	
8	5.5	13.5	
8.5	5.5	14	
9	5.5	14.5	
9.5	5.5	15	
10	5.5	15.5	
0	6	6	
0.5	6	6.5	
1	6	7	
1.5	6	7.5	
2	6	8	
2.5	6	8.5	
